arch,astar_final_cellerr,astar_first_div,astar_rollout_cellerr,best_change_acc,best_loss,bfs_final_cellerr,bfs_first_div,bfs_rollout_cellerr,final_change_acc,final_loss,games,n_params,n_steps_logged,random_final_cellerr,random_first_div,random_rollout_cellerr,random_tf_final_cellerr,random_tf_first_div,random_tf_rollout_cellerr,seed
nca_perstep,0.047619047619047616,11.0,0.012648809523809524,1.0,0.0680360347032547,0.047619047619047616,11.0,0.012648809523809524,1.0,0.10132759809494019,sokoban_basic_synth,8486693,10000,0.055952380952380955,14.7,0.03133333333333334,0.0011904761904761906,15.5,0.003333333333333333,0
nca_perstep,0.10714285714285714,10.0,0.04513888888888889,1.0,0.06720825284719467,0.10714285714285714,10.0,0.04513888888888889,0.9491525292396545,0.1001148447394371,sokoban_basic_synth,8486693,10000,0.075,20.6,0.048309523809523816,0.0011904761904761906,21.75,0.0017857142857142857,1
nca_perstep,0.023809523809523808,20.5,0.004802489177489177,1.0,0.07317344844341278,0.023809523809523808,20.5,0.004802489177489177,0.9999999403953552,0.09218379855155945,sokoban_basic_synth,8486693,10000,0.08571428571428572,15.45,0.06630952380952382,0.0011904761904761906,21.55,0.002761904761904762,2
nca_shared_noac,0.05952380952380952,3.5,0.04062950937950938,1.0,0.0679294764995575,0.05952380952380952,3.5,0.04062950937950938,1.0,0.10153356194496155,sokoban_basic_synth,2941605,10000,0.0630952380952381,6.6,0.04166666666666667,0.0035714285714285718,3.8,0.005785714285714285,0
nca_shared_noac,0.05952380952380952,6.0,0.039254148629148625,1.0,0.06773452460765839,0.05952380952380952,6.0,0.039254148629148625,1.0,0.09788599610328674,sokoban_basic_synth,2941605,10000,0.07738095238095238,6.25,0.05852380952380952,0.004761904761904762,8.0,0.0038571428571428567,1
nca_shared_noac,0.011904761904761904,7.0,0.012355699855699856,1.0,0.07430293411016464,0.011904761904761904,7.0,0.012355699855699856,0.9999999403953552,0.09390166401863098,sokoban_basic_synth,2941605,10000,0.07023809523809524,10.8,0.044500000000000005,0.0011904761904761906,8.0,0.004238095238095239,2
nca_shared_noap,0.05952380952380952,0.5,0.05041486291486291,1.0,0.06880554556846619,0.05952380952380952,0.5,0.05041486291486291,1.0,0.1027955487370491,sokoban_basic_synth,2941605,10000,0.10357142857142856,3.0999999999999996,0.07971428571428571,0.0,2.2,0.0067857142857142855,0
nca_shared_noap,0.07142857142857142,6.0,0.047821969696969696,1.0,0.06914748251438141,0.07142857142857142,6.0,0.047821969696969696,0.9322034120559692,0.10227426886558533,sokoban_basic_synth,2941605,10000,0.0630952380952381,13.15,0.04019047619047619,0.002380952380952381,15.100000000000001,0.0027380952380952383,1
nca_shared_noap,0.07142857142857142,4.0,0.04108044733044733,1.0,0.07550220191478729,0.07142857142857142,4.0,0.04108044733044733,0.9999999403953552,0.09474343061447144,sokoban_basic_synth,2941605,10000,0.08214285714285714,8.0,0.05752380952380953,0.007142857142857143,7.35,0.005,2
nca_shared_nogp,0.11904761904761904,6.0,0.0624774531024531,1.0,0.0664735957980156,0.11904761904761904,6.0,0.0624774531024531,0.9807692766189575,0.10501431673765182,sokoban_basic_synth,3007141,10000,0.07142857142857142,9.149999999999999,0.05338095238095238,0.004761904761904762,5.15,0.005166666666666667,0
nca_shared_nogp,0.07142857142857142,5.0,0.04434974747474747,1.0,0.06620196998119354,0.07142857142857142,5.0,0.04434974747474747,0.9661017060279846,0.0971822589635849,sokoban_basic_synth,3007141,10000,0.057142857142857134,11.4,0.0385952380952381,0.007142857142857143,12.9,0.0025476190476190477,1
nca_shared_nogp,0.13095238095238093,4.0,0.06921897546897546,1.0,0.072883740067482,0.13095238095238093,4.0,0.06921897546897546,0.9999999403953552,0.0921136736869812,sokoban_basic_synth,3007141,10000,0.07738095238095238,6.8500000000000005,0.048690476190476194,0.0035714285714285718,9.95,0.0029047619047619056,2
nca_shared_nois,0.08333333333333333,5.0,0.03839736652236651,1.0,0.06732463091611862,0.08333333333333333,5.0,0.03839736652236651,0.9807692766189575,0.10192055255174637,sokoban_basic_synth,2482853,10000,0.05476190476190476,17.8,0.03611904761904762,0.0011904761904761906,16.3,0.0015476190476190475,0
nca_shared_nois,0.0,,0.0,1.0,0.06721656769514084,0.0,,0.0,0.9830508232116699,0.09829737991094589,sokoban_basic_synth,2482853,10000,0.039285714285714285,26.7,0.02123809523809524,0.0,19.4,0.0017380952380952382,1
nca_shared_nois,0.09523809523809523,4.0,0.057990620490620495,1.0,0.07348445802927017,0.09523809523809523,4.0,0.057990620490620495,0.9787233471870422,0.09323529154062271,sokoban_basic_synth,2482853,10000,0.02261904761904762,21.05,0.020880952380952382,0.0,20.6,0.0017619047619047618,2
nca_shared_nopool,0.10714285714285714,0.5,0.0872790404040404,1.0,0.06805359572172165,0.10714285714285714,0.5,0.0872790404040404,0.9615384936332703,0.10502888262271881,sokoban_basic_synth,2679205,10000,0.08571428571428572,1.3,0.0669761904761905,0.015476190476190477,1.7,0.014238095238095237,0
nca_shared_nopool,0.05952380952380952,1.5,0.0633342352092352,1.0,0.06838005036115646,0.05952380952380952,1.5,0.0633342352092352,0.9661017060279846,0.10038867592811584,sokoban_basic_synth,2679205,10000,0.08333333333333333,2.0,0.07019047619047618,0.011904761904761904,2.25,0.010738095238095238,1
nca_shared_nopool,0.15476190476190477,0.5,0.10923971861471862,1.0,0.07463335990905762,0.15476190476190477,0.5,0.10923971861471862,0.9787233471870422,0.09336776286363602,sokoban_basic_synth,2679205,10000,0.08928571428571427,1.25,0.07454761904761904,0.005952380952380952,1.1,0.011833333333333333,2
nca_shared,0.03571428571428571,10.0,0.01618867243867244,1.0,0.06699062883853912,0.03571428571428571,10.0,0.01618867243867244,1.0,0.10247359424829483,sokoban_basic_synth,3072677,10000,0.05952380952380952,8.95,0.0435952380952381,0.0035714285714285718,13.95,0.0032619047619047623,0
nca_shared,0.023809523809523808,5.0,0.019052128427128428,1.0,0.06712940335273743,0.023809523809523808,5.0,0.019052128427128428,0.9661017060279846,0.09789342433214188,sokoban_basic_synth,3072677,10000,0.05714285714285714,16.2,0.03983333333333333,0.0,11.3,0.0019761904761904764,1
nca_shared,0.07142857142857142,12.5,0.027169011544011544,1.0,0.07403804361820221,0.07142857142857142,12.5,0.027169011544011544,0.9999999403953552,0.09372414648532867,sokoban_basic_synth,3072677,10000,0.060714285714285714,10.9,0.039285714285714285,0.005952380952380952,8.6,0.0029761904761904765,2
unet_l2,0.09523809523809523,0.5,0.09451659451659451,1.0,0.0699073076248169,0.09523809523809523,0.5,0.09451659451659451,0.9230769872665405,0.10471386462450027,sokoban_basic_synth,6073926,10000,0.07738095238095238,1.6,0.06464285714285715,0.013095238095238094,0.75,0.01288095238095238,0
unet_l2,0.08333333333333333,0.5,0.09115710678210678,1.0,0.06824920326471329,0.08333333333333333,0.5,0.09115710678210678,0.9491525292396545,0.10120297968387604,sokoban_basic_synth,6073926,10000,0.058333333333333334,1.05,0.05499999999999999,0.025,1.45,0.014404761904761905,1
unet_l2,0.07142857142857142,0.5,0.08184523809523808,1.0,0.07599187642335892,0.07142857142857142,0.5,0.08184523809523808,0.9574467539787292,0.09651695191860199,sokoban_basic_synth,6073926,10000,0.10476190476190476,2.7,0.0932857142857143,0.014285714285714285,1.7,0.01380952380952381,2
vit_l4,0.11904761904761904,0.5,0.10583513708513709,1.0,0.08492881804704666,0.11904761904761904,0.5,0.10583513708513709,0.8461538553237915,0.11845427751541138,sokoban_basic_synth,3993158,10000,0.09285714285714286,1.05,0.07959523809523808,0.020238095238095236,1.15,0.024142857142857146,0
vit_l4,0.14285714285714285,0.5,0.11280212842712842,1.0,0.08123860508203506,0.14285714285714285,0.5,0.11280212842712842,0.8983050584793091,0.11975526809692383,sokoban_basic_synth,3993158,10000,0.16904761904761906,0.5,0.12466666666666668,0.025,0.75,0.026690476190476188,1
vit_l4,0.11904761904761904,1.0,0.11093073593073592,1.0,0.08607247471809387,0.11904761904761904,1.0,0.11093073593073592,0.9574467539787292,0.10248551517724991,sokoban_basic_synth,3993158,10000,0.11547619047619048,1.25,0.1075952380952381,0.010714285714285714,1.75,0.019,2
