run,game,bucket,depth,n_steps,n_repeats,axis_pool,global_pool,axis_cummax,input_skip,best_loss,final_loss,final_change_acc,loss_ratio_q3_to_q4,n_train_steps,bfs_err_mean,bfs_err_l0,bfs_err_heldout,astar_err_mean,astar_err_l0,astar_err_heldout,random_err_mean,random_tf_err_mean
Travelling_salesman__B_d8,Travelling_salesman,B,8,8,1,True,True,True,False,0.001718927756883204,0.0017230005469173193,1.0,1.8513521418129388,50000,0.49953664022168626,0.26857142857142857,0.5205334776444368,0.5091161192222179,0.26857142857142857,0.5309838183722895,0.5005696442163611,0.21049404034778305
Travelling_salesman__C_d8,Travelling_salesman,C,8,8,8,False,False,False,True,0.0017049831803888083,0.0017090227920562029,1.0,1.8513649092020106,50000,0.39718430090645346,0.0,0.43329196462522196,0.40778105795057895,0.0,0.4448520632188134,0.4308674051088921,0.1287597737951581
Travelling_salesman__D_d8,Travelling_salesman,D,8,8,1,False,False,False,True,0.001716289552859962,0.001720355823636055,1.0,1.8513546290075855,50000,0.37103571669674434,0.0,0.4047662363964484,0.37644693413427754,0.0,0.41066938269193914,0.37489262172185317,0.10440395417556238
nekopuzzle__A_d8,nekopuzzle,A,8,8,8,True,True,True,False,0.014523117803037167,0.014937817119061947,1.0,1.1765002215618103,15000,0.09015660430839002,0.0,0.10017400478710002,0.09015660430839002,0.0,0.10017400478710002,0.10226733955106866,0.03468580470816799
nekopuzzle__B_d8,nekopuzzle,B,8,8,1,True,True,True,False,0.01480511762201786,0.015227874740958214,1.0,1.1762991116565844,15000,0.07470202664399092,0.0,0.08300225182665659,0.07470202664399092,0.0,0.08300225182665659,0.0863466970998926,0.0239537109757983
nekopuzzle__C_d8,nekopuzzle,C,8,8,8,False,False,False,True,0.014496590942144394,0.015393555164337158,1.0,1.1680866306607016,15000,0.07045918367346939,0.0,0.07828798185941042,0.07045918367346939,0.0,0.07828798185941042,0.07353791544718663,0.03954892687649384
nekopuzzle__D_d8,nekopuzzle,D,8,8,1,False,False,False,True,0.014570835046470165,0.015469400212168694,1.0,1.1681769293137687,15000,0.06588116496598638,0.0,0.07320129440665155,0.06588116496598638,0.0,0.07320129440665155,0.07779054232804233,0.02927105750520929
sokoban_basic__A_d8,sokoban_basic,A,8,8,8,True,True,True,False,1.262310149741097e-07,1.4146067428555398e-07,1.0,2.888563156402741,15000,0.04985119047619047,0.0,0.09970238095238095,0.04985119047619047,0.0,0.09970238095238095,0.08402380952380951,0.033119047619047624
sokoban_basic__B_d8,sokoban_basic,B,8,8,1,True,True,True,False,7.914464816849431e-08,8.38905336308926e-08,1.0,2.233094015197697,15000,0.04613095238095238,0.0,0.09226190476190475,0.04613095238095238,0.0,0.09226190476190475,0.0881904761904762,0.03588095238095239
sokoban_basic__C_d8,sokoban_basic,C,8,8,8,False,False,False,True,8.681615781824803e-08,9.981830118022117e-08,1.0,2.159130754855181,15000,0.06473214285714285,0.0,0.1294642857142857,0.06473214285714285,0.0,0.1294642857142857,0.09657142857142859,0.038309523809523814
sokoban_basic__D_d8,sokoban_basic,D,8,8,1,False,False,False,True,1.6327838636698289e-07,1.9538802575880254e-07,1.0,2.053015053932845,15000,0.033482142857142856,0.0,0.06696428571428571,0.033482142857142856,0.0,0.06696428571428571,0.05288095238095239,0.026190476190476188
